,Randoms
0,0.9867245629829481
1,0.8222729979925838
2,-0.7412529430135157
3,-1.75444147363162
4,0.48844335769837777
5,-1.5069245352467076
6,-0.6086180913430919
7,1.5249188982369586
8,-1.7253562451681512
9,0.3531956298493512
10,1.0043505694665464
11,1.2049097228764116
12,-1.1602382153699815
13,1.0879313090951295
14,0.33719041986718074
15,-0.3901671203112619
16,-1.0709157205264561
17,1.1167734411200336
18,0.46010805922318215
19,0.7957089393030086
20,-1.5844370017405376
21,-0.01307421980719361
22,0.506048066279845
23,-0.7575291069256063
24,-0.170695106396899
25,0.41989722898579596
26,1.8825001524546967
27,-1.566514844047447
28,-0.1231066668140905
29,0.6437365161442604
30,-0.309579837491451
31,-0.7380757288589965
32,1.0149976550494735
33,0.03881947440534843
34,1.0837501803115996
35,-0.17596622622880548
36,-0.6229839695228042
37,-1.1472629241974162
38,0.8133103958428531
39,1.6746134510604413
40,0.403473154026901
41,-0.06470328426030815
42,0.46674425882132314
43,1.0445703675659779
44,-0.706233141953718
45,0.6700050050772558
46,-0.6416843379889001
47,-0.12833511817853302
48,-0.30883960024541685
49,-0.7773856256095177
50,-0.23237501072541636
51,0.10241096673206555
52,-0.5108762152032486
53,-0.21362054371937095
54,0.881709782912356
55,0.9751880740526071
56,0.21641125250646867
57,-0.6476938131234243
58,-0.2971071196302057
59,0.08937541464401556
60,-0.43552560555427317
61,0.23170911480858045
62,-0.22633304560797476
63,0.8217177884214478
64,1.4640156435328258
65,-0.448402110816086
66,-0.18822941762752027
67,0.5466525392105102
68,0.16860364474894232
69,-0.13124115923688345
70,0.6687809333617261
71,0.5493387780109606
72,0.8226667001074368
73,-0.6622982449215709
74,-1.4138980291680476
75,0.2503381471449987
76,-0.1736916566385165
77,-1.2076601309543111
78,0.28253148597531536
79,-1.006640868785516
80,-0.8774631248398888
81,0.5033253148766194
82,2.0607629668442646
83,-1.3184845330317774
84,0.24430262367137992
85,0.39010380812835443
86,0.9233167197733532
87,0.31905164005983333
88,1.250748719614994
89,0.09344667523015199
90,-1.0679769023974248
91,0.5649480880761342
92,-1.725982385950918
93,-0.5279990460519408
94,0.4847713512787212
95,0.18610074889847258
96,-0.6167719506918415
97,1.5308099634618628
98,0.06329153257155574
99,0.7603012457855359
100,-0.17585850175280884
101,1.0052181942106986
102,-1.5379786188892448
103,-0.15939734158085953
104,1.5896179823827303
105,-0.9327087887314691
106,0.29158205769132267
107,0.8647729816441267
108,-0.11744302296279145
109,-0.38061923061956504
110,-0.15919694142505242
111,0.12049836855374567
112,1.097554681219335
113,1.9875210337007199
114,-0.1425148315665552
115,-0.5505228421913468
116,1.3613789995952337
117,-0.5490582903344217
118,-0.9123846804757437
119,-1.1039937655432444
120,-1.561649930627128
121,-0.6340036898421887
122,0.17415315495344844
123,-0.009203110845160718
124,0.8648628985579359
125,-1.0112532146714726
126,0.04465162947022305
127,-2.0365915815645232
128,-0.8328475114221041
